index,critical_temp
0,25.86856573250903
1,25.68967802198313
2,59.149183300328986
3,55.081237418470714
4,58.70045999535375
5,80.48188275838254
6,68.13963137420942
7,51.634451629935064
8,52.09443931517146
9,64.70027289555225
10,25.83695013791858
11,23.026270154304065
12,64.35514015369338
13,64.7339978945422
14,66.74087541580877
15,66.74087541580877
16,66.74087541580877
17,66.74087541580877
18,84.93186925343412
19,49.99362633898693
20,43.89216447268126
21,59.741787448624635
22,21.32741372237376
23,63.64030567612077
24,66.9095303785461
25,67.23399937855845
26,25.83695013791858
27,64.7723664472808
28,74.44072898594473
29,73.70716798369429
30,28.639671874529395
31,81.62093712304386
32,93.43517866299575
33,70.39923503955987
34,92.73692746072467
35,66.96108576718498
36,64.85648512988277
37,64.19023690762742
38,63.88737885150842
39,66.00681348730697
40,72.60895306154228
41,72.1527553928216
42,24.771201450810388
43,61.52796086906624
44,66.74087541580877
45,61.52796086906624
46,53.509439891387345
47,68.16162187897899
48,68.85636752574919
49,69.08547879656402
50,68.07225401891668
51,65.21074517301585
52,64.63258585376272
53,62.92909184870967
54,64.7339978945422
55,74.26888297894911
56,67.83503145552342
57,67.57753165808074
58,46.53077034119421
59,47.17998822135975
60,66.83302957062031
61,70.39923503955987
62,66.8245908743867
63,78.43212701746009
64,80.55163874228595
65,79.58773679678077
66,81.50863582319425
67,77.85488421083662
68,68.72561189983762
69,70.39923503955987
70,72.72962744928489
71,63.09044139302727
72,61.193948232883756
73,65.03852947040372
74,25.83695013791858
75,74.34632062650618
76,37.87178881557148
77,33.56122408559855
78,66.79095839802798
79,65.04042445203106
80,61.78898491181342
81,68.27578265712319
82,56.28161916095346
83,29.28133051005539
84,64.31442720742311
85,28.65233347658475
86,66.9095303785461
87,44.722403063162254
88,67.19862841419015
89,67.20760150314908
90,67.37387255098523
91,62.79408755185313
92,68.96943037674211
93,71.1203481225848
94,67.05848656744976
95,70.74527677615029
96,44.7951554005378
97,24.224794272587165
98,66.38807087494826
99,65.09438771243893
100,63.60743538496144
101,65.56580927954653
102,57.2782951101557
103,80.37299594008158
104,79.80642165978927
105,81.55924431779425
106,73.91902172855879
107,77.87262075258374
108,64.40840095840258
109,68.56177367603104
110,68.66711130458228
111,68.70936730319806
112,68.75821582609936
113,53.43335581798465
114,54.71834872079405
115,56.82687889882065
116,54.71834872079405
117,59.41666757891896
118,53.69054663382546
119,53.14051951093373
120,66.76834482225232
121,66.69209035231216
122,66.58393410322952
123,68.51689359015504
124,65.98174656045776
125,66.74087541580877
126,63.424844890075015
127,48.2096504193139
128,93.43517866299575
129,22.037322399164367
130,56.89197905430187
131,61.193948232883756
132,61.497197665380334
133,72.57690932015123
134,72.64198060896783
135,64.99313692936744
136,70.45028345157598
137,42.4511260215556
138,64.63258585376272
139,62.92909184870967
140,66.92666605285933
141,67.14505346360156
142,23.691042367410258
143,23.988028315529196
